SetTemp 	  MeasuredTemp 	 hourDiff 	 minuteDiff 	 Output 
17	22	0	48	22
17	22	0	48	21
17	21	1	1	20
17	20	1	8	20
17	20	1	11	20
17	20	1	14	19
17	19	0	25	19
21	19	0	13	20
21	20	0	5	20
21	20	0	4	20
21	20	0	6	21
21	21	0	34	20
21	20	0	18	21
21	21	1	10	20
21	20	0	5	20
21	20	0	9	20
21	20	0	5	21
21	21	0	43	20
21	20	0	15	21
21	21	0	8	22
21	22	0	24	21
21	21	0	21	20
21	20	0	15	21
21	21	0	5	22
21	22	0	26	21
21	21	0	24	20
21	20	0	14	21
21	21	0	10	22
21	22	0	22	21
21	21	3	11	20
21	20	0	13	21
21	21	0	3	22
21	22	1	8	21
21	21	3	6	21
23	21	0	12	22
23	22	0	2	22
23	22	0	4	22
23	22	0	4	23
23	23	0	6	24
23	24	0	22	23
23	23	0	20	22
23	22	0	12	23
23	23	0	6	24
23	24	0	27	23
23	23	0	11	23
17	23	0	12	22
17	22	0	35	22
17	22	1	5	22
17	22	1	5	21
17	21	1	12	20
17	20	1	18	20
17	20	1	26	20
17	20	0	25	20
21	20	0	0	20
23	20	0	15	20
23	20	0	4	20
21	20	0	0	20
21	20	0	5	21
21	21	0	43	20
21	20	0	14	21
21	21	0	4	22
21	22	0	38	22
16	22	0	1	21
16	21	2	57	20
16	20	3	47	20
16	20	1	11	20
21	20	0	8	20
21	20	0	9	21
21	21	0	3	22
21	22	0	33	22
16	22	0	40	21
16	21	5	3	20
16	20	1	22	20
16	20	1	45	20
16	20	1	54	19
16	19	2	21	18
16	18	2	32	18
21	18	0	0	18
23	18	0	1	18
23	18	0	13	18
23	18	0	4	19
23	19	0	4	20
23	20	0	6	20
23	20	0	8	20
23	20	0	7	21
23	21	0	9	22
23	22	0	12	22
23	22	0	6	22
17	22	0	0	22
21	22	0	28	22
21	22	0	10	21
21	21	1	18	21
23	21	0	12	21
17	21	0	0	21
21	21	1	3	20
21	20	0	15	21
21	21	0	8	22
21	22	0	37	21
21	21	0	25	20
21	20	0	15	21
21	21	0	8	22
21	22	0	25	21
21	21	0	27	20
21	20	0	15	21
21	21	0	8	22
21	22	0	53	21
21	21	0	1	20
21	20	0	14	21
21	21	0	9	22
21	22	0	26	21
21	21	0	27	20
21	20	0	14	21
21	21	0	11	22
21	22	0	23	21
21	21	0	25	20
21	20	0	15	21
21	21	0	9	22
21	22	0	24	21
21	21	0	25	20
21	20	0	15	21
21	21	0	7	22
21	22	0	26	21
21	21	0	25	20
21	20	0	15	21
21	21	0	9	22
21	22	0	24	21
21	21	0	24	20
21	20	0	6	20
23	20	0	0	20
17	20	1	11	20
17	20	1	3	20
17	20	1	15	19
17	19	1	29	18
17	18	1	44	18
17	18	0	37	18
21	18	0	16	18
21	18	0	4	19
21	19	0	6	20
21	20	0	7	20
21	20	0	6	20
21	20	0	10	21
21	21	0	27	20
21	20	0	10	20
21	20	0	5	20
21	20	0	7	21
21	21	0	29	20
21	20	0	19	21
21	21	0	33	20
21	20	0	17	21
21	21	0	36	20
21	20	0	17	21
21	21	0	44	20
21	20	0	16	21
21	21	0	7	22
21	22	0	21	21
21	21	0	12	20
21	20	0	16	21
21	21	0	40	20
21	20	0	16	21
21	21	0	41	20
21	20	0	16	21
21	21	0	47	20
21	20	0	15	21
21	21	0	9	22
21	22	0	20	21
21	21	0	19	20
21	20	0	15	21
21	21	0	48	20
21	20	0	15	21
21	21	0	10	22
21	22	0	22	21
21	21	0	8	21
23	21	0	16	21
17	21	0	0	21
21	21	0	4	22
21	22	0	32	21
21	21	1	17	20
21	20	0	15	21
21	21	0	4	22
21	22	1	11	21
21	21	0	45	21
17	21	0	11	20
17	20	0	50	20
17	20	1	1	20
17	20	1	21	19
17	19	1	16	18
17	18	1	49	18
17	18	0	8	18
21	18	0	0	18
23	18	0	14	18
23	18	0	4	19
23	19	0	5	20
23	20	0	5	20
23	20	0	11	20
23	20	0	11	21
23	21	0	11	22
23	22	0	9	22
23	22	0	4	22
21	22	0	20	22
21	22	0	9	21
21	21	0	9	20
21	20	0	15	21
21	21	0	5	22
21	22	0	14	21
21	21	0	13	20
21	20	0	15	21
21	21	0	28	20
21	20	0	21	21
21	21	0	6	22
21	22	0	25	21
21	21	0	21	20
21	20	0	12	21
21	21	0	3	22
21	22	0	8	22
21	22	0	13	22
21	22	0	14	21
21	21	0	27	20
21	20	0	15	21
21	21	0	6	22
21	22	0	24	21
21	21	0	12	20
21	20	0	13	21
21	21	0	8	22
21	22	0	25	21
21	21	0	22	20
21	20	0	15	21
21	21	0	8	22
21	22	0	23	21
21	21	0	19	20
21	20	0	15	21
21	21	0	13	22
21	22	0	11	22
23	22	0	1	21
23	21	0	39	22
23	22	0	35	22
23	22	0	35	22
17	22	0	0	22
21	22	0	1	22
21	22	0	1	23
21	23	0	5	24
